"pais","cpi","regiao"
"Argentina",3.9,"América do Sul"
"Australia",8.7,"Oceania"
"Austria",7.9,"Europa"
"Belgium",7.1,"Europa"
"Brazil",4,"América do Sul"
"Canada",8.9,"EUA e Canadá"
"Chile",6.2,"América do Sul"
"China",2.5,"Ásia"
"Colombia",4,"América do Sul"
"Cyprus",6.3,"Europa"
"Czech Rep.",4.6,"Europa"
"Denmark",9.3,"Europa"
"Egypt",2.1,"Ásia"
"France",6.8,"Europa"
"Germany",7.9,"Europa"
"Greece",3.5,"Europa"
"Iceland",8.5,"Europa"
"India",2.3,"Ásia"
"Indonesia",1.8,"Ásia"
"Ireland",8,"Europa"
"Italy",3.9,"Europa"
"Kazakhstan",1.9,"Ásia"
"Kuwait",2.8,"Ásia"
"Lebanon",1.5,"Ásia"
"Malaysia",3.4,"Ásia"
"Netherlands",8.8,"Europa"
"New Zealand",9.3,"Oceania"
"Norway",8.6,"Europa"
"Oman",3.3,"Ásia"
"Philippines",1.4,"Ásia"
"Poland",5.3,"Europa"
"Portugal",6,"Europa"
"Romania",3.7,"Europa"
"Russia",2.1,"Europa"
"Saudi Arabia",3.7,"Ásia"
"Serbia",3.5,"Europa"
"South Africa",2.8,"Ásia"
"Spain",6.1,"Europa"
"Sweden",9.2,"Europa"
"Switzerland",8.7,"Europa"
"Taiwan",3.8,"Ásia"
"Thailand",2.5,"Ásia"
"Turkey",4.4,"Europa"
"Ukraine",2.4,"Europa"
"United Kingdom",7.6,"Europa"
"United States",7.1,"EUA e Canadá"
"Venezuela",2.8,"América do Sul"
"Jordan",2,"Ásia"
"Syria",1,"Ásia"
"Iraq",0.8,"Ásia"
