"pais","cpi","idade","horas"
"Argentina",3.90000009536743,72,35
"Australia",8.69999980926514,64,32
"Austria",7.90000009536743,72,32
"Belgium",7.09999990463257,67,30.1000003814697
"Brazil",4,59,35
"Canada",8.89999961853027,61,33.4000015258789
"Chile",6.19999980926514,70,34
"China",2.5,49,34
"Colombia",4,79,33
"Cyprus",6.30000019073486,58,32
"CzechÂ Rep",4.59999990463257,42,38.0999984741211
"Denmark",9.30000019073486,76,30
"Egypt",2.09999990463257,59,32
"France",6.80000019073486,70,30
"Germany",7.90000009536743,66,27.5
"Greece",3.5,60,30
"Iceland",8.5,53,31
"India",2.29999995231628,56,29.7999992370605
"Indonesia",1.79999995231628,63,33.5
"Iraq",0.800000011920929,42,32
"Ireland",8,63,31.2999992370605
"Italy",3.90000009536743,66,35.0999984741211
"Jordan",2,58,32
"Kazakhstan",1.89999997615814,44,33.9000015258789
"Kuwait",2.79999995231628,62,32.4000015258789
"Lebanon",1.5,39,31.7000007629395
"Malaysia",3.40000009536743,73,32.7999992370605
"Netherlands",8.80000019073486,61,26.7999992370605
"NewÂ Zealand",9.30000019073486,65,31
"Norway",8.60000038146973,64,27.1000003814697
"Oman",3.29999995231628,58,33.2000007629395
"Philippines",1.39999997615814,75,34.7000007629395
"Poland",5.30000019073486,50,38
"Portugal",6,69,33.2000007629395
"Romania",3.70000004768372,67,34.5
"Russia",2.09999990463257,46,34.9000015258789
"SaudiÂ Arabia",3.70000004768372,58,33.7999992370605
"Serbia",3.5,61,34.5
"SouthÂ Africa",2.79999995231628,64,37.7999992370605
"Spain",6.09999990463257,62,31.7999992370605
"Sweden",9.19999980926514,70,30
"Switzerland",8.69999980926514,65,32
"Syria",1,34,32
"Taiwan",3.79999995231628,63,34.0999984741211
"Thailand",2.5,68,31.2000007629395
"Turkey",4.40000009536743,61,34.5
"Ukraine",2.40000009536743,44,32.7999992370605
"UnitedÂ Kingdom",7.59999990463257,60,32.0999984741211
"UnitedÂ States",7.09999990463257,65,34.5
"Venezuela",2.79999995231628,51,34.9000015258789
